movie_id,company_id
26843,29110
70331,192913
70331,259611
69979,56080
8833,2549
81824,15847
81824,41
81824,13963
27608,143420
27608,10131
52913,10519
57044,3633
53833,25
75040,6896
75040,8117
80471,9335
80471,10093
46968,67581
46968,80640
46968,5620
30525,40014
30525,23884
30067,129603
17591,4397
37907,248975
69479,158922
69479,59629
71097,859
71097,6149
93456,6704
93456,33
83544,6886
37956,10096
37956,60
46852,89238
8464,73525
8464,1203
8464,73524
39728,5788
45392,3964
70060,8269
70060,8270
70060,8272
70060,4521
61201,19117
49766,41109
27451,35
27451,21097
12434,1079
12434,4243
12434,1168
12434,3394
12434,4667
94830,85393
23903,33
23903,23
23903,5556
58678,1923
58678,2801
58678,1898
33989,394
100,21920
100,13419
100,20076
54588,5661
56166,8988
56166,16069
56166,1583
81310,3166
84281,921
84281,21775
84281,26197
84281,7372
49529,2
5992,619
5992,1054
71874,135910
40205,6679
40205,30085
40205,185616
20085,8797
20085,11073
63900,104
63900,8212
63900,11244
63900,4606
63900,132712
69550,84544
39946,17339
39946,14377
77902,8070
77902,8071
77902,8072
24973,25
68405,20181
68405,124989
80327,3017
80327,191286
39538,6735
39538,6736
39538,215
39538,508
39538,174
97399,169169
94820,32910
94820,6550
13016,39242
15003,3007
15003,4207
81342,694
81342,83
81342,62546
1717,7295
1717,11317
1717,1208
1717,5
1717,2116
12900,7429
12900,288
34943,5
61761,102070
61761,58411
56664,6045
91520,94
91520,17084
91520,9341
91520,16975
91520,46
91520,170585
91520,27196
67843,344
68089,34079
68089,34080
36618,41314
46819,17765
287,1312
287,41
76392,5744
76392,2514
13528,21
12576,45443
12576,486
12576,1704
12576,3539
12576,16850
12576,21446
74010,55331
48426,147
48426,836
48426,2210
43183,6115
35789,85891
35789,85890
35789,23946
85231,5
63859,66722
63859,33
95801,417
95801,6237
4415,1236
2517,1141
2517,1142
2517,528
2517,12424
2517,16918
20630,17183
32238,73736
32238,2931
32238,7036
49759,72559
63585,118541
63585,13788
15720,35459
15720,16647
15720,3857
15720,12026
15720,28761
15720,1093
51197,48155
51197,213447
51197,12043
64259,69658
62688,17962
10812,1251
10812,14169
10812,167655
10812,162
10812,2067
10812,32510
32430,6
32430,5214
67790,3166
2675,9195
2675,12236
2675,862
4703,1722
4703,14120
4703,4
